Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LandNotFlat,Shed,NoGarage,NFloors,SplitLvl,LvlFinished,RoofMatlCompShg,YearRemodDiff,OverallGoodQual,OverallPoorQual,OverallGoodCond,OverallPoorCond,LotDepth,LotShapeRatio,GrLivLotRatio,HouseLotAreaRatio,HouseLotAreaDiff,Garage1stFlrRatio,GrLiv1stFlrRatio,FloorsSFRatio,Bsmt1stFlrRatio,Bsmt2FlrRatio,Bsmt1FlrRatio,OverallQualCond,RailroadNearby,RoadNearby,PosSiteNearby,Bath,BsmtBath,BathTotal,QualTimes1stFlSF,QualTimes2ndFlSF,QualTimesGrLivArea,QualTimesLotArea,QualTimesGarageArea,QualTimesBath,QualTimesKitchen,CondTimes1stFlSF,CondTimes2ndFlSF,CondTimesGrLivArea,CondTimesLotArea,CondTimesGarageArea,CondTimesBath,CondTimesKitchen,GarageQualTimesArea,GarageCondTimesArea,GarageQualCond,ExterQualTimesLotArea,ExterQualTimesGrLivArea,ExterQualTimes1stFlrSF,ExterCondTimesLotArea,ExterCondTimesGrLivArea,ExterCondTimes1stFlrSF,RealEstateVol
11,20,RL,70,11200,4,Lvl,4,Inside,1,Sawyer,1Fam,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,2,906,0,0,134,1040,GasA,5,1,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,Detchd,1965,Unf,1,384,3,3,2,0,0,0,0,0,0,-1,0,2,2008,WD,Normal,129500,0,0,0,1,0,0,1,0,0,0,0,0,160,0.82667857318399995,0.092857142857100006,0.092857142857100006,-10160,0.36923076923100001,0,0,1,0,0.87115384615400004,25,0,0,0,1,1,2,5200,0,5200,56000,1920,10,5,5200,0,5200,56000,1920,10,5,1152,1152,9,33600,3120,3120,33600,3120,3120,1593700
12,60,RL,85,11924,3,Lvl,4,Inside,1,NridgHt,1Fam,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286,5,3,PConc,5,3,1,5,998,0,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,6,2,BuiltIn,2005,Fin,3,736,3,3,2,147,21,0,0,0,0,-1,0,7,2006,New,Partial,345000,0,0,0,2,0,0,1,1,4,0,0,0,140.282352941,0.50100594181699998,0.19490103991900001,0.099127809459900004,-10742,0.62267343485600002,0.49139414802100001,0.96615905245300004,0.99407783417899998,0,0.84433164128600002,45,0,0,0,3,1,4,10638,10278,20916,107316,6624,36,9,5910,5710,11620,59620,3680,20,5,2208,2208,9,59620,11620,5910,35772,6972,3546,12275141
13,20,RL,69,12968,2,Lvl,4,Inside,1,Sawyer,1Fam,5,6,1962,1962,Hip,HdBoard,Plywood,None,0,3,3,CBlock,3,3,1,4,737,0,0,175,912,GasA,3,1,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,6,0,Detchd,1962,Unf,1,352,3,3,2,140,0,0,0,176,0,-1,0,9,2008,WD,Normal,144000,0,0,0,1,0,0,1,0,0,0,1,0,187.942028986,1.00202705422,0.070326958667499995,0.070326958667499995,-12056,0.38596491228099999,0,0,1,0,0.80811403508799995,30,0,0,0,1,1,2,4560,0,4560,64840,1760,10,5,5472,0,5472,77808,2112,12,6,1056,1056,9,38904,2736,2736,38904,2736,2736,2883650
14,20,RL,91,10652,3,Lvl,4,Inside,1,CollgCr,1Fam,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306,4,3,PConc,4,3,3,0,0,0,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,6,1,Attchd,2006,RFn,3,840,3,3,2,160,33,0,0,0,0,-1,0,8,2007,New,Partial,279500,0,0,0,1,0,0,1,1,2,0,0,0,117.054945055,0.25178393389999998,0.140255351108,0.140255351108,-9158,0.56224899598400002,0,0,1,0,0,35,0,0,0,2,0,2,10458,0,10458,74564,5880,14,7,7470,0,7470,53260,4200,10,5,2520,2520,9,42608,5976,5976,31956,4482,4482,7357643
15,20,RL,69,10920,3,Lvl,4,Corner,1,NAmes,1Fam,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212,3,3,CBlock,3,3,1,3,733,0,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,Attchd,1960,RFn,1,352,3,3,2,0,213,176,0,0,0,2,0,5,2008,WD,Normal,157000,0,0,0,1,0,0,1,0,1,0,0,0,158.26086956500001,0.83013824010399995,0.11474358974399999,0.11474358974399999,-9667,0.28092577813199998,0,0,1,0,0.58499600957700004,30,0,0,0,2,1,3,7518,0,7518,65520,2112,18,6,6265,0,6265,54600,1760,15,5,1056,1056,9,32760,3759,3759,32760,3759,3759,7156710
16,45,RM,51,6120,4,Lvl,4,Corner,1,BrkSide,1Fam,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,1,0,0,0,0,832,832,GasA,5,1,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,6,0,Detchd,1991,Unf,2,576,3,3,2,48,112,0,0,0,0,4,0,7,2007,WD,Normal,132000,0,0,0,1.5,0,0,1,72,2,0,3,0,120,0.85566611005799997,0.13954248365999999,0.13954248365999999,-5266,0.67447306791600004,0,0,0.97423887587799995,0,0,56,0,0,0,1,0,1,5978,0,5978,42840,4032,7,7,6832,0,6832,48960,4608,8,8,1728,1728,9,18360,2562,2562,18360,2562,2562,9965239
17,20,RL,69,11241,3,Lvl,4,CulDSac,1,NAmes,1Fam,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180,3,3,CBlock,3,3,1,4,578,0,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,Attchd,1970,Fin,2,480,3,3,2,0,0,0,0,0,0,-1,700,3,2010,WD,Normal,149000,0,1,0,1,0,0,1,0,1,0,2,0,162.91304347799999,0.85911007826700003,0.089315897162199995,0.089315897162199995,-10237,0.47808764940199999,0,0,1,0,0.57569721115500005,42,0,0,0,1,1,2,6024,0,6024,67446,2880,12,6,7028,0,7028,78687,3360,14,7,1440,1440,9,33723,3012,3012,33723,3012,3012,4266807
18,90,RL,72,10791,4,Lvl,4,Inside,1,Sawyer,Duplex,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0,3,3,Slab,-1,-1,-1,-1,0,-1,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,CarPort,1967,Unf,2,516,3,3,2,0,0,0,0,0,0,-1,500,10,2006,WD,Normal,90000,0,1,0,1,0,0,1,0,0,1,0,0,149.875,0.73313549433199998,0.120100083403,0.120100083403,-9495,0.39814814814799998,0,0,0,0,0,20,0,0,0,2,0,2,5184,0,5184,43164,2064,8,8,6480,0,6480,53955,2580,10,10,1548,1548,9,32373,3888,3888,32373,3888,3888,4136561
19,20,RL,66,13695,4,Lvl,4,Inside,1,SawyerW,1Fam,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0,3,3,PConc,3,3,1,5,646,0,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,6,0,Detchd,2004,Unf,2,576,3,3,2,0,102,0,0,0,0,-1,0,6,2008,WD,Normal,159000,0,0,0,1,0,0,1,0,0,0,0,0,207.5,1.1454765976400001,0.081343556042399998,0.081343556042399998,-12581,0.51705565529599995,0,0,1,0,0.579892280072,25,1,0,0,2,1,3,5570,0,5570,68475,2880,15,5,5570,0,5570,68475,2880,15,5,1728,1728,9,41085,3342,3342,41085,3342,3342,8656278
20,20,RL,70,7560,4,Lvl,4,Inside,1,NAmes,1Fam,5,6,1958,1965,Hip,BrkFace,Plywood,None,0,3,3,CBlock,3,3,1,1,504,0,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,5,0,Attchd,1958,Unf,1,294,3,3,2,0,0,0,0,0,0,3,0,5,2009,other,Abnorml,139000,0,0,0,1,0,0,1,7,0,0,1,0,108,0.43363598507500001,0.17711640211599999,0.17711640211599999,-6221,0.21956684092600001,0,0,0.768483943241,0,0.37640029873000003,30,0,0,0,1,0,1,6695,0,6695,37800,1470,5,5,8034,0,8034,45360,1764,6,6,882,882,9,22680,4017,4017,22680,4017,4017,6085869
21,60,RL,101,14215,3,Lvl,4,Corner,1,NridgHt,1Fam,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380,4,3,PConc,5,3,3,0,0,0,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,6,1,BuiltIn,2005,RFn,3,853,3,3,2,240,154,0,0,0,0,-1,0,11,2006,New,Partial,325300,0,0,0,2,0,0,1,1,3,0,0,0,140.742574257,0.33181199040300002,0.167147379529,0.081463243053100001,-13057,0.73661485319499997,0.51262626262599997,1.0518134715,1,0,0,40,0,0,0,4,0,4,9264,9744,19008,113720,6824,32,8,5790,6090,11880,71075,4265,20,5,2559,2559,9,56860,9504,4632,42645,7128,3474,3412560
22,45,RM,57,7449,4,Bnk,4,Inside,1,IDOTRR,1Fam,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,1,0,0,0,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,6,1,Attchd,1930,Unf,1,280,3,3,0,0,0,205,0,0,0,4,0,6,2007,WD,Normal,139400,1,0,0,1.5,0,0,1,20,2,0,2,0,130.68421052599999,0.82973253850700002,0.148744797959,0.148744797959,-6341,0.25270758122699999,0,0,0.57490974729199995,0,0,49,0,0,0,1,0,1,7756,0,7756,52143,1960,7,7,7756,0,7756,52143,1960,7,7,840,840,9,22347,3324,3324,22347,3324,3324,10603823
23,20,RL,75,9742,4,Lvl,4,Inside,1,CollgCr,1Fam,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281,4,3,PConc,4,3,1,0,0,0,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,6,1,Attchd,2002,RFn,2,534,3,3,2,171,159,0,0,0,0,-1,0,9,2008,WD,Normal,230000,0,0,0,1,0,0,1,0,3,0,0,0,129.89333333299999,0.549225487294,0.18425374666399999,0.18425374666399999,-7947,0.29749303621200002,0,0,0.98997214484700002,0,0,40,0,0,0,2,0,2,14360,0,14360,77936,4272,16,8,8975,0,8975,48710,2670,10,5,1602,1602,9,38968,7180,7180,29226,5385,5385,2883650
24,120,RM,44,4224,4,Lvl,4,Inside,1,MeadowV,TwnhsE,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0,3,3,PConc,4,3,1,5,840,0,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,Attchd,1976,Unf,2,572,3,3,2,100,110,0,0,0,0,-1,0,6,2007,WD,Normal,129900,0,0,0,1,0,0,1,0,0,0,2,0,96,0.78015855754999996,0.25094696969699998,0.25094696969699998,-3164,0.53962264150899997,0,0,0.98113207547199999,0,0.79245283018900003,35,0,0,0,1,1,2,5300,0,5300,21120,2860,10,5,7420,0,7420,29568,4004,14,7,1716,1716,9,12672,3180,3180,12672,3180,3180,10603823
25,20,RL,69,8246,3,Lvl,4,Inside,1,Sawyer,1Fam,5,8,1968,2001,Gable,Plywood,Plywood,None,0,3,4,CBlock,3,3,2,2,188,4,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,6,1,Attchd,1968,Unf,1,270,3,3,2,406,90,0,0,0,0,3,0,5,2010,WD,Normal,154000,0,0,0,1,0,0,1,33,0,0,3,0,119.507246377,0.54927050407199995,0.12854717438800001,0.12854717438800001,-7186,0.25471698113199998,0,0,1,0.63018867924499999,0.177358490566,40,0,0,0,1,1,2,5300,0,5300,41230,1350,10,5,8480,0,8480,65968,2160,16,8,810,810,9,24738,3180,3180,32984,4240,4240,8564268
26,20,RL,110,14230,4,Lvl,4,Corner,1,NridgHt,1Fam,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640,4,3,PConc,4,3,1,0,0,0,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,6,1,Attchd,2007,RFn,3,890,3,3,2,0,56,0,0,0,0,-1,0,7,2009,WD,Normal,256300,0,0,0,1,0,0,1,0,3,0,0,0,129.363636364,0.16214695949899999,0.11243851018999999,0.11243851018999999,-12630,0.55625000000000002,0,0,0.97875000000000001,0,0,40,0,0,0,2,0,2,12800,0,12800,113840,7120,16,8,8000,0,8000,71150,4450,10,5,2670,2670,9,56920,6400,6400,42690,4800,4800,12077049
27,20,RL,60,7200,4,Lvl,4,Corner,1,NAmes,1Fam,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,2,3,234,2,486,180,900,GasA,3,1,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,6,0,Detchd,2005,Unf,2,576,3,3,2,222,32,0,0,0,0,-1,0,5,2010,WD,Normal,134800,0,0,0,1,0,0,1,49,0,0,2,0,120,0.69314718056000002,0.125,0.125,-6300,0.64000000000000001,0,0,1,0.54000000000000004,0.26000000000000001,35,0,0,0,1,1,2,4500,0,4500,36000,2880,10,5,6300,0,6300,50400,4032,14,7,1728,1728,9,21600,2700,2700,21600,2700,2700,8564268
28,20,RL,98,11478,4,Lvl,4,Inside,1,NridgHt,1Fam,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200,4,3,PConc,5,3,1,5,1218,0,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,6,1,Attchd,2008,RFn,3,772,3,3,2,0,50,0,0,0,0,-1,0,5,2010,WD,Normal,306000,0,0,0,1,0,0,1,1,3,0,0,0,117.12244898,0.178252481327,0.148457919498,0.148457919498,-9774,0.45305164319199998,0,0,1,0,0.71478873239399998,40,0,0,0,2,1,3,13632,0,13632,91824,6176,24,8,8520,0,8520,57390,3860,15,5,2316,2316,9,45912,6816,6816,34434,5112,5112,8564268
29,20,RL,47,16321,3,Lvl,4,CulDSac,1,NAmes,1Fam,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,3,1277,0,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,Attchd,1957,RFn,1,319,3,3,2,288,258,0,0,0,0,-1,0,12,2006,WD,Normal,207500,0,0,0,1,0,0,1,40,0,0,1,0,347.255319149,1.9999126977299999,0.0980332087495,0.0980332087495,-14721,0.199375,0,0,0.92749999999999999,0,0.79812499999999997,30,0,0,0,1,1,2,8000,0,8000,81605,1595,10,5,9600,0,9600,97926,1914,12,6,957,957,9,48963,4800,4800,48963,4800,4800,2226540
30,30,RM,60,6324,3,Lvl,4,Inside,1,BrkSide,1Fam,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,1,0,0,0,0,520,520,GasA,2,0,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,6,0,Detchd,1920,Unf,1,240,2,3,2,49,0,87,0,0,0,-1,0,5,2008,WD,Normal,68500,0,0,0,1,0,0,1,23,0,1,1,0,105.40000000000001,0.56341807388499998,0.082226438962700002,0.082226438962700002,-5804,0.46153846153799999,0,0,1,0,0,24,1,1,0,1,0,1,2080,0,2080,25296,960,4,4,3120,0,3120,37944,1440,6,6,480,720,6,18972,1560,1560,18972,1560,1560,7156710
31,70,C (all),50,8500,4,Lvl,4,Inside,1,IDOTRR,1Fam,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0,3,2,BrkTil,3,3,1,0,0,0,0,649,649,GasA,3,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,Detchd,1920,Unf,1,250,3,2,0,0,54,172,0,0,0,3,0,7,2008,WD,Normal,40000,0,0,0,2,0,0,1,30,0,1,0,1,170,1.22377543162,0.154941176471,0.076352941176500003,-7851,0.38520801232700003,0.50721336370500003,1.02927580894,1,0,0,16,0,1,0,1,0,1,2596,2672,5268,34000,1000,4,4,2596,2672,5268,34000,1000,4,4,750,500,6,25500,3951,1947,17000,2634,1298,8553570
32,20,RL,69,8544,3,Lvl,4,CulDSac,1,Sawyer,1Fam,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,0,0,0,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,6,0,Attchd,1966,Unf,1,271,3,3,2,0,65,0,0,0,0,3,0,6,2008,WD,Normal,149350,0,0,0,1,0,0,1,40,0,0,1,0,123.826086957,0.58477155200499997,0.14372659175999999,0.14372659175999999,-7316,0.22068403908799999,0,0,1,0,0,30,0,0,0,2,0,2,6140,0,6140,42720,1355,10,5,7368,0,7368,51264,1626,12,6,813,813,9,25632,3684,3684,25632,3684,3684,8656278
